factor,source,active,original_family,proposed_family,mechanism,horizon,formula_units,definition,review_status,reason,representative_eligible,source_reference,semantic_resolved,replacement_hold_reason,expected_return_direction,correctness_status,statistical_substitution,semantic_audit_basis,dense_field,dense_lag,horizon_type,denominator_reference,direction_evidence,economic_theme,subtheme,measurement_family,measurement_orientation,representation_sign,disposition,role_reason,composite_group,u_item_review,u_review_status,dated_availability_semantics,exact_alias,c_output,r_role,c_role,h_role,lineage_partition_id,lineage_source,lineage_economic_family,lineage_authoritative_semantics,lineage_historical_semantics,lineage_continuation_semantics,lineage_historical_action,lineage_continuation_action,lineage_known_accepted_residual,lineage_research_usable,lineage_temporarily_blocked,lineage_block_reason,lineage_qualification_authority,lineage_canonical_schema_start,lineage_canonical_schema_end,quality_full_coverage,quality_infinite_fraction,quality_coverage_A,quality_coverage_B,quality_coverage_C,quality_coverage_D,quality_worst_era_coverage,legacy_proposal_role_0_995,legacy_reason_0_995,legacy_unknown_pair_count_0_995
alpha158_BETA10,alpha158,True,VolatilityRisk,PriceTrend,normalized_price_slope,window_10,ratio_or_normalized_statistic,"Qlib Alpha158 expression: Slope($close, 10)/$close",formula_reconciled,"Slope(close,n)/close is price slope, not market beta.",True,Qlib expression inventory; lag/operator identity retained,True,,not_asserted_no_outcome_direction_used,no_new_correctness_evidence_in_metadata_review,none_authorized_by_v0_5_1_0_995_proposals,existing_v0_5_1_formula_and_canonical_lineage; new_measurement_axis_review,,,rolling_or_recursive_parameters,"Qlib Alpha158 expression: Slope($close, 10)/$close",canonical_formula_measurement_axis_not_return_claim,return_trend,normalized_price_slope,normalized_price_slope,steeper historical price slope,1.0,G_REPRESENTABLE,measured_axis_is_defined; preserve source horizon/input/mask; no expected-return assertion,normalized_price_slope__window_10,not_U_measurement_axis_defined,not_applicable,canonical dated universe and historical/current OHLCV through signal close; exact source warmup/mask retained,alpha158_BETA10,erc_52b20f87e810021b,raw,rank_constituent,raw_and_rank,alpha158_003,alpha158,VolatilityRisk,factor_universe_v2_lineage_accepted_semantics,factor_universe_v2_lineage_accepted_semantics,factor_universe_v2_lineage_accepted_semantics,lineage_resolved_parent_reference,frozen_parent_reference,none,True,False,,Factor Universe V2 2021+ physical qualification,2010-01-29,2026-06-09,0.9671992482618312,0.0,0.9630853293241164,0.9222892459185256,0.9873152408213756,0.9986243801112876,0.9222892459185256,retain_unmerged_with_unknown_pairs,Singleton is not evidence of independence,13
alpha158_BETA20,alpha158,True,VolatilityRisk,PriceTrend,normalized_price_slope,window_20,ratio_or_normalized_statistic,"Qlib Alpha158 expression: Slope($close, 20)/$close",formula_reconciled,"Slope(close,n)/close is price slope, not market beta.",True,Qlib expression inventory; lag/operator identity retained,True,,not_asserted_no_outcome_direction_used,no_new_correctness_evidence_in_metadata_review,none_authorized_by_v0_5_1_0_995_proposals,existing_v0_5_1_formula_and_canonical_lineage; new_measurement_axis_review,,,rolling_or_recursive_parameters,"Qlib Alpha158 expression: Slope($close, 20)/$close",canonical_formula_measurement_axis_not_return_claim,return_trend,normalized_price_slope,normalized_price_slope,steeper historical price slope,1.0,G_REPRESENTABLE,measured_axis_is_defined; preserve source horizon/input/mask; no expected-return assertion,normalized_price_slope__window_20,not_U_measurement_axis_defined,not_applicable,canonical dated universe and historical/current OHLCV through signal close; exact source warmup/mask retained,alpha158_BETA20,erc_eb51e5bf1ab2107c,raw,rank_constituent,raw_and_rank,alpha158_003,alpha158,VolatilityRisk,factor_universe_v2_lineage_accepted_semantics,factor_universe_v2_lineage_accepted_semantics,factor_universe_v2_lineage_accepted_semantics,lineage_resolved_parent_reference,frozen_parent_reference,none,True,False,,Factor Universe V2 2021+ physical qualification,2010-01-29,2026-06-09,0.9674177522848052,0.0,0.9632837572797428,0.9227714886614896,0.9874625070465176,0.9986800927167804,0.9227714886614896,retain_unmerged_with_unknown_pairs,Singleton is not evidence of independence,13
alpha158_BETA30,alpha158,True,VolatilityRisk,PriceTrend,normalized_price_slope,window_30,ratio_or_normalized_statistic,"Qlib Alpha158 expression: Slope($close, 30)/$close",formula_reconciled,"Slope(close,n)/close is price slope, not market beta.",True,Qlib expression inventory; lag/operator identity retained,True,,not_asserted_no_outcome_direction_used,no_new_correctness_evidence_in_metadata_review,none_authorized_by_v0_5_1_0_995_proposals,existing_v0_5_1_formula_and_canonical_lineage; new_measurement_axis_review,,,rolling_or_recursive_parameters,"Qlib Alpha158 expression: Slope($close, 30)/$close",canonical_formula_measurement_axis_not_return_claim,return_trend,normalized_price_slope,normalized_price_slope,steeper historical price slope,1.0,G_REPRESENTABLE,measured_axis_is_defined; preserve source horizon/input/mask; no expected-return assertion,normalized_price_slope__window_30,not_U_measurement_axis_defined,not_applicable,canonical dated universe and historical/current OHLCV through signal close; exact source warmup/mask retained,alpha158_BETA30,erc_f67f5315575f570b,raw,rank_constituent,raw_and_rank,alpha158_003,alpha158,VolatilityRisk,factor_universe_v2_lineage_accepted_semantics,factor_universe_v2_lineage_accepted_semantics,factor_universe_v2_lineage_accepted_semantics,lineage_resolved_parent_reference,frozen_parent_reference,none,True,False,,Factor Universe V2 2021+ physical qualification,2010-01-29,2026-06-09,0.9675013289441784,0.0,0.96339865988211,0.92295318351932,0.9874816859037454,0.9986807805267248,0.92295318351932,retain_unmerged_with_unknown_pairs,Singleton is not evidence of independence,13
alpha158_BETA5,alpha158,True,VolatilityRisk,PriceTrend,normalized_price_slope,window_5,ratio_or_normalized_statistic,"Qlib Alpha158 expression: Slope($close, 5)/$close",formula_reconciled,"Slope(close,n)/close is price slope, not market beta.",True,Qlib expression inventory; lag/operator identity retained,True,,not_asserted_no_outcome_direction_used,no_new_correctness_evidence_in_metadata_review,none_authorized_by_v0_5_1_0_995_proposals,existing_v0_5_1_formula_and_canonical_lineage; new_measurement_axis_review,,,rolling_or_recursive_parameters,"Qlib Alpha158 expression: Slope($close, 5)/$close",canonical_formula_measurement_axis_not_return_claim,return_trend,normalized_price_slope,normalized_price_slope,steeper historical price slope,1.0,G_REPRESENTABLE,measured_axis_is_defined; preserve source horizon/input/mask; no expected-return assertion,normalized_price_slope__window_5,not_U_measurement_axis_defined,not_applicable,canonical dated universe and historical/current OHLCV through signal close; exact source warmup/mask retained,alpha158_BETA5,erc_11b179c281e84335,raw,rank_constituent,raw_and_rank,alpha158_003,alpha158,VolatilityRisk,factor_universe_v2_lineage_accepted_semantics,factor_universe_v2_lineage_accepted_semantics,factor_universe_v2_lineage_accepted_semantics,lineage_resolved_parent_reference,frozen_parent_reference,none,True,False,,Factor Universe V2 2021+ physical qualification,2010-01-29,2026-06-09,0.966778804959183,0.0,0.9625377742305282,0.9214477118401524,0.9871631798819268,0.9985562869267964,0.9214477118401524,retain_unmerged_with_unknown_pairs,Singleton is not evidence of independence,13
alpha158_BETA60,alpha158,True,VolatilityRisk,PriceTrend,normalized_price_slope,window_60,ratio_or_normalized_statistic,"Qlib Alpha158 expression: Slope($close, 60)/$close",formula_reconciled,"Slope(close,n)/close is price slope, not market beta.",True,Qlib expression inventory; lag/operator identity retained,True,,not_asserted_no_outcome_direction_used,no_new_correctness_evidence_in_metadata_review,none_authorized_by_v0_5_1_0_995_proposals,existing_v0_5_1_formula_and_canonical_lineage; new_measurement_axis_review,,,rolling_or_recursive_parameters,"Qlib Alpha158 expression: Slope($close, 60)/$close",canonical_formula_measurement_axis_not_return_claim,return_trend,normalized_price_slope,normalized_price_slope,steeper historical price slope,1.0,G_REPRESENTABLE,measured_axis_is_defined; preserve source horizon/input/mask; no expected-return assertion,normalized_price_slope__window_60,not_U_measurement_axis_defined,not_applicable,canonical dated universe and historical/current OHLCV through signal close; exact source warmup/mask retained,alpha158_BETA60,erc_3cbadf7497f354e3,raw,rank_constituent,raw_and_rank,alpha158_003,alpha158,VolatilityRisk,factor_universe_v2_lineage_accepted_semantics,factor_universe_v2_lineage_accepted_semantics,factor_universe_v2_lineage_accepted_semantics,lineage_resolved_parent_reference,frozen_parent_reference,none,True,False,,Factor Universe V2 2021+ physical qualification,2010-01-29,2026-06-09,0.9676257151074976,0.0,0.963558639659252,0.9232147967920612,0.9875323728835618,0.9986855951963354,0.9232147967920612,retain_unmerged_with_unknown_pairs,Singleton is not evidence of independence,13
alpha158_CNTD30,alpha158,True,MomentumTrend,ReturnDynamics,alpha158_cntd,window_30,ratio_or_normalized_statistic,"Qlib Alpha158 expression: Mean($close>Ref($close, 1), 30)-Mean($close<Ref($close, 1), 30)",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,,not_asserted_no_outcome_direction_used,no_new_correctness_evidence_in_metadata_review,none_authorized_by_v0_5_1_0_995_proposals,existing_v0_5_1_formula_and_canonical_lineage; new_measurement_axis_review,,,rolling_or_recursive_parameters,"Qlib Alpha158 expression: Mean($close>Ref($close, 1), 30)-Mean($close<Ref($close, 1), 30)",canonical_formula_measurement_axis_not_return_claim,return_trend,up_day_balance,alpha158_cntd,larger up-minus-down day share,1.0,G_REPRESENTABLE,measured_axis_is_defined; preserve source horizon/input/mask; no expected-return assertion,up_day_balance__window_30,not_U_measurement_axis_defined,not_applicable,canonical dated universe and historical/current OHLCV through signal close; exact source warmup/mask retained,alpha158_CNTD30,erc_cd54b6130e29641c,raw,rank_constituent,raw_and_rank,alpha158_001,alpha158,MomentumTrend,factor_universe_v2_lineage_accepted_semantics,factor_universe_v2_lineage_accepted_semantics,factor_universe_v2_lineage_accepted_semantics,lineage_resolved_parent_reference,frozen_parent_reference,none,True,False,,Factor Universe V2 2021+ physical qualification,2010-01-29,2026-06-09,1.0,0.0,1.0,1.0,1.0,1.0,1.0,retain_unmerged_with_unknown_pairs,Singleton is not evidence of independence,13
alpha158_CNTP30,alpha158,True,MomentumTrend,ReturnDynamics,alpha158_cntp,window_30,ratio_or_normalized_statistic,"Qlib Alpha158 expression: Mean($close>Ref($close, 1), 30)",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,,not_asserted_no_outcome_direction_used,no_new_correctness_evidence_in_metadata_review,none_authorized_by_v0_5_1_0_995_proposals,existing_v0_5_1_formula_and_canonical_lineage; new_measurement_axis_review,,,rolling_or_recursive_parameters,"Qlib Alpha158 expression: Mean($close>Ref($close, 1), 30)",canonical_formula_measurement_axis_not_return_claim,return_trend,up_day_balance,alpha158_cntp,larger up-day share,1.0,G_REPRESENTABLE,measured_axis_is_defined; preserve source horizon/input/mask; no expected-return assertion,up_day_balance__window_30,not_U_measurement_axis_defined,not_applicable,canonical dated universe and historical/current OHLCV through signal close; exact source warmup/mask retained,alpha158_CNTP30,erc_cd54b6130e29641c,raw,rank_constituent,raw_and_rank,alpha158_001,alpha158,MomentumTrend,factor_universe_v2_lineage_accepted_semantics,factor_universe_v2_lineage_accepted_semantics,factor_universe_v2_lineage_accepted_semantics,lineage_resolved_parent_reference,frozen_parent_reference,none,True,False,,Factor Universe V2 2021+ physical qualification,2010-01-29,2026-06-09,1.0,0.0,1.0,1.0,1.0,1.0,1.0,retain_unmerged_with_unknown_pairs,Singleton is not evidence of independence,13
alpha158_CORD10,alpha158,True,Liquidity,LiquidityTrading,alpha158_cord,window_10,ratio_or_normalized_statistic,"Qlib Alpha158 expression: Corr($close/Ref($close,1), Log($volume/Ref($volume, 1)+1), 10)",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,,not_asserted_no_outcome_direction_used,no_new_correctness_evidence_in_metadata_review,none_authorized_by_v0_5_1_0_995_proposals,existing_v0_5_1_formula_and_canonical_lineage; new_measurement_axis_review,,,rolling_or_recursive_parameters,"Qlib Alpha158 expression: Corr($close/Ref($close,1), Log($volume/Ref($volume, 1)+1), 10)",canonical_formula_measurement_axis_not_return_claim,trading_activity,return_volume_growth_correlation,alpha158_cord,higher return-volume growth correlation,1.0,G_REPRESENTABLE,measured_axis_is_defined; preserve source horizon/input/mask; no expected-return assertion,return_volume_growth_correlation__window_10,not_U_measurement_axis_defined,not_applicable,canonical dated universe and historical/current OHLCV through signal close; exact source warmup/mask retained,alpha158_CORD10,erc_8bcb0bbe96063a8a,raw,rank_constituent,raw_and_rank,alpha158_002,alpha158,Liquidity,factor_universe_v2_lineage_accepted_semantics,factor_universe_v2_lineage_accepted_semantics,factor_universe_v2_lineage_accepted_semantics,lineage_resolved_parent_reference,frozen_parent_reference,none,True,False,,Factor Universe V2 2021+ physical qualification,2010-01-29,2026-06-09,0.9772135391176412,0.0,0.9782909210150672,0.9401069540633048,0.9905050957538696,0.9995542991560572,0.9401069540633048,retain_unmerged_with_unknown_pairs,Singleton is not evidence of independence,13
alpha158_CORD20,alpha158,True,Liquidity,LiquidityTrading,alpha158_cord,window_20,ratio_or_normalized_statistic,"Qlib Alpha158 expression: Corr($close/Ref($close,1), Log($volume/Ref($volume, 1)+1), 20)",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,,not_asserted_no_outcome_direction_used,no_new_correctness_evidence_in_metadata_review,none_authorized_by_v0_5_1_0_995_proposals,existing_v0_5_1_formula_and_canonical_lineage; new_measurement_axis_review,,,rolling_or_recursive_parameters,"Qlib Alpha158 expression: Corr($close/Ref($close,1), Log($volume/Ref($volume, 1)+1), 20)",canonical_formula_measurement_axis_not_return_claim,trading_activity,return_volume_growth_correlation,alpha158_cord,higher return-volume growth correlation,1.0,G_REPRESENTABLE,measured_axis_is_defined; preserve source horizon/input/mask; no expected-return assertion,return_volume_growth_correlation__window_20,not_U_measurement_axis_defined,not_applicable,canonical dated universe and historical/current OHLCV through signal close; exact source warmup/mask retained,alpha158_CORD20,erc_4086289249c98f60,raw,rank_constituent,raw_and_rank,alpha158_002,alpha158,Liquidity,factor_universe_v2_lineage_accepted_semantics,factor_universe_v2_lineage_accepted_semantics,factor_universe_v2_lineage_accepted_semantics,lineage_resolved_parent_reference,frozen_parent_reference,none,True,False,,Factor Universe V2 2021+ physical qualification,2010-01-29,2026-06-09,0.9831510960589463,0.0,0.9847051378256716,0.9546657668445137,0.99267436149817,0.9998528086719076,0.9546657668445137,retain_unmerged_with_unknown_pairs,Singleton is not evidence of independence,13
alpha158_CORD30,alpha158,True,Liquidity,LiquidityTrading,alpha158_cord,window_30,ratio_or_normalized_statistic,"Qlib Alpha158 expression: Corr($close/Ref($close,1), Log($volume/Ref($volume, 1)+1), 30)",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,,not_asserted_no_outcome_direction_used,no_new_correctness_evidence_in_metadata_review,none_authorized_by_v0_5_1_0_995_proposals,existing_v0_5_1_formula_and_canonical_lineage; new_measurement_axis_review,,,rolling_or_recursive_parameters,"Qlib Alpha158 expression: Corr($close/Ref($close,1), Log($volume/Ref($volume, 1)+1), 30)",canonical_formula_measurement_axis_not_return_claim,trading_activity,return_volume_growth_correlation,alpha158_cord,higher return-volume growth correlation,1.0,G_REPRESENTABLE,measured_axis_is_defined; preserve source horizon/input/mask; no expected-return assertion,return_volume_growth_correlation__window_30,not_U_measurement_axis_defined,not_applicable,canonical dated universe and historical/current OHLCV through signal close; exact source warmup/mask retained,alpha158_CORD30,erc_9b5603b83cfb0ed1,raw,rank_constituent,raw_and_rank,alpha158_002,alpha158,Liquidity,factor_universe_v2_lineage_accepted_semantics,factor_universe_v2_lineage_accepted_semantics,factor_universe_v2_lineage_accepted_semantics,lineage_resolved_parent_reference,frozen_parent_reference,none,True,False,,Factor Universe V2 2021+ physical qualification,2010-01-29,2026-06-09,0.987430522196003,0.0,0.9892773775337128,0.9654636326813038,0.9941689424435644,0.9999092090873448,0.9654636326813038,retain_unmerged_with_unknown_pairs,Singleton is not evidence of independence,13
