pool_name,factor,source_family,source_project,category,screening_gate,promotion_decision,promotion_reason,upstream_role,judgement_role,research_included,downstream_default_included,judgement_label,judgement_reason,source_policy,expected_direction,consensus_direction,consensus_direction_sign,direction_agreement_count,direction_observation_count,direction_agreement_ratio,primary_mean_ic,max_abs_mean_ic,max_abs_qlib_ir,max_abs_ann_alpha,coverage,missing_rate,valid_rows,total_rows,metric_value_count,alphalens_status,jqfactor_status,qlib_status,alphalens_mean_ic_10d,alphalens_mean_ic_20d,jqfactor_mean_ic_10d,jqfactor_mean_ic_20d,qlib_information_ratio_10d,qlib_information_ratio_20d,alphalens_ann_alpha_10d,alphalens_ann_alpha_20d,judgement_issue_tags,license,compute_adapter,frame_diagnostic_selected,portfolio_smoke_selected,horizon_pair_count,horizon_consistent_count,horizon_consistency_ratio,frame_status,valid_rows_frame,total_rows_frame,coverage_frame,missing_rate_frame,strongest_corr_factor,strongest_corr,strongest_abs_corr,mean_spearman_liquidity_value,liquidity_value_date_count,mean_spearman_liquidity_bucket,liquidity_bucket_date_count,mean_spearman_tradability_score,tradability_score_date_count,high_liquidity_z_mean,low_liquidity_z_mean,high_minus_low_liquidity_z,max_abs_tradability_exposure,high_redundancy_watch,high_tradability_exposure_watch,horizon_unstable_watch,diagnostic_label
multi_source_judgement_v1,alpha360_VOLUME45,alpha360,qlib_alpha360,alpha360_volume_window,strict_screening_input,promoted,required_pass_allowed_partials_only,monitor,new_source_alpha_probe,True,False,strong_signal_probe,passes_strong_ic_qlib_ir_direction_rules,new_source_research_probe_rules,watch,positive,1,6,6,1.0,0.0770638527665441,0.0770638527665441,12.836183178398082,0.1076397587735862,0.9935808642183858,0.0064191357816142,88227.0,88797.0,18.0,pass,partial_pass,pass,0.0606454672667526,0.0770638527665441,0.0606454672667526,0.0770638527665441,8.280814589650095,12.836183178398082,0.0879571408340733,0.1076397587735862,,MIT,qlib_expression_adapter_pending,True,False,3,3,1.0,available,88227.0,88797.0,0.9935808642183858,0.006419135781614238,alpha360_VOLUME47,0.810309744955939,0.810309744955939,-0.2771561935532176,40.0,-0.2754580782165059,40.0,-0.1772256631963163,40.0,-0.22040449871226117,0.23184012289128572,-0.4522446216035469,0.2771561935532176,False,False,False,frame_diagnostic_probe
multi_source_judgement_v1,ta_volatility_ui,ta,ta,ta_volatility,strict_screening_input,promoted,required_pass_allowed_partials_only,monitor,new_source_alpha_probe,True,False,strong_signal_probe,passes_strong_ic_qlib_ir_direction_rules,new_source_research_probe_rules,watch,negative,-1,6,6,1.0,-0.0743776431406686,0.0743776431406687,6.496057011885704,0.1067401478623341,0.9127554615926708,0.0872445384073291,19428.0,21285.0,18.0,pass,partial_pass,pass,-0.0692901897738136,-0.0743776431406686,-0.0692901897738136,-0.0743776431406687,-5.745384737325641,-6.496057011885704,-0.1067401478623341,-0.0823221480273328,,MIT,factor_research.ta_source.compute_ta_features,True,False,3,3,1.0,available,19428.0,21285.0,0.9127554615926708,0.08724453840732915,ta_volatility_kcw,0.36568798810610925,0.36568798810610925,0.057473386018920256,40.0,0.05182062462706932,40.0,0.016684270359025827,40.0,0.037748564690360004,-0.024448161551002257,0.06219672624136226,0.057473386018920256,False,False,False,frame_diagnostic_probe
multi_source_judgement_v1,kunquant_alpha101_alpha003,alpha101,kunquant_alpha101,alpha101,strict_screening_input,promoted,required_pass_allowed_partials_only,monitor,new_source_alpha_probe,True,False,consistent_signal_probe,passes_consistent_ic_qlib_ir_direction_rules,new_source_research_probe_rules,watch,positive,1,6,6,1.0,0.0137287620769841,0.0313363773759212,7.160173913891749,0.0622508262301493,1.0,0.0,89000.0,89000.0,18.0,pass,partial_pass,pass,0.0313363773759212,0.0137287620769841,0.0313363773759212,0.0137287620769841,7.160173913891749,3.162393897885188,0.0622508262301493,0.0379355437749342,,Apache-2.0,factor_research.alpha101_source.compute_alpha101_features,False,False,3,3,1.0,,,,,,,,,,,,,,,,,,,False,False,False,metric_only_probe
multi_source_judgement_v1,kunquant_alpha101_alpha013,alpha101,kunquant_alpha101,alpha101,strict_screening_input,promoted,required_pass_allowed_partials_only,monitor,new_source_alpha_probe,True,False,consistent_signal_probe,passes_consistent_ic_qlib_ir_direction_rules,new_source_research_probe_rules,watch,positive,1,6,6,1.0,0.0072529144840378,0.0353907998495441,6.452576093494098,0.0524082370525291,0.9678539325842695,0.0321460674157303,86139.0,89000.0,18.0,pass,partial_pass,pass,0.0353907998495441,0.0072529144840378,0.0353907998495441,0.0072529144840378,6.452576093494098,1.2349172289896564,0.0524082370525291,0.0276709631002118,,Apache-2.0,factor_research.alpha101_source.compute_alpha101_features,False,False,3,3,1.0,,,,,,,,,,,,,,,,,,,False,False,False,metric_only_probe
multi_source_judgement_v1,kunquant_alpha101_alpha020,alpha101,kunquant_alpha101,alpha101,strict_screening_input,promoted,required_pass_allowed_partials_only,monitor,new_source_alpha_probe,True,False,consistent_signal_probe,passes_consistent_ic_qlib_ir_direction_rules,new_source_research_probe_rules,watch,negative,-1,6,6,1.0,-0.0316836414243569,0.0316836414243569,4.412715858984356,0.0534984585954775,0.9872134831460674,0.0127865168539326,87862.0,89000.0,18.0,pass,partial_pass,pass,-0.0173258216168488,-0.0316836414243569,-0.0173258216168488,-0.0316836414243569,-2.3796902238078466,-4.412715858984356,-0.0337484019707809,-0.0534984585954775,,Apache-2.0,factor_research.alpha101_source.compute_alpha101_features,False,False,3,3,1.0,,,,,,,,,,,,,,,,,,,False,False,False,metric_only_probe
multi_source_judgement_v1,kunquant_alpha101_alpha055,alpha101,kunquant_alpha101,alpha101,strict_screening_input,promoted,required_pass_allowed_partials_only,monitor,new_source_alpha_probe,True,False,consistent_signal_probe,passes_consistent_ic_qlib_ir_direction_rules,new_source_research_probe_rules,watch,positive,1,6,6,1.0,0.0101456027111369,0.0334508766160028,6.058841269384369,0.0652037446795468,1.0,0.0,89000.0,89000.0,18.0,pass,partial_pass,pass,0.0334508766160028,0.0101456027111369,0.0334508766160028,0.0101456027111369,6.058841269384369,1.7611429356624555,0.0652037446795468,0.0281255006202221,,Apache-2.0,factor_research.alpha101_source.compute_alpha101_features,False,False,3,3,1.0,,,,,,,,,,,,,,,,,,,False,False,False,metric_only_probe
multi_source_judgement_v1,kunquant_alpha101_alpha064,alpha101,kunquant_alpha101,alpha101,strict_screening_input,promoted,required_pass_allowed_partials_only,monitor,new_source_alpha_probe,True,False,consistent_signal_probe,passes_consistent_ic_qlib_ir_direction_rules,new_source_research_probe_rules,watch,negative,-1,6,6,1.0,-0.0279893472111667,0.0363577279929611,9.255098885997702,0.0886728458299399,1.0,0.0,89000.0,89000.0,18.0,pass,partial_pass,pass,-0.0363577279929611,-0.0279893472111667,-0.0363577279929611,-0.0279893472111667,-9.255098885997702,-6.860084323962283,-0.0886728458299399,-0.0557768555776663,,Apache-2.0,factor_research.alpha101_source.compute_alpha101_features,False,False,3,3,1.0,,,,,,,,,,,,,,,,,,,False,False,False,metric_only_probe
multi_source_judgement_v1,kunquant_alpha101_alpha074,alpha101,kunquant_alpha101,alpha101,strict_screening_input,promoted,required_pass_allowed_partials_only,monitor,new_source_alpha_probe,True,False,consistent_signal_probe,passes_consistent_ic_qlib_ir_direction_rules,new_source_research_probe_rules,watch,negative,-1,6,6,1.0,-0.032551011406745,0.032551011406745,8.454882407788785,0.0555099871962186,1.0,0.0,89000.0,89000.0,18.0,pass,partial_pass,pass,-0.0207689427944279,-0.032551011406745,-0.0207689427944279,-0.032551011406745,-4.281665858209724,-8.454882407788785,-0.0555099871962186,-0.0394998647496566,,Apache-2.0,factor_research.alpha101_source.compute_alpha101_features,False,False,3,3,1.0,,,,,,,,,,,,,,,,,,,False,False,False,metric_only_probe
multi_source_judgement_v1,alpha360_CLOSE10,alpha360,qlib_alpha360,alpha360_close_window,strict_screening_input,promoted,required_pass_allowed_partials_only,monitor,new_source_alpha_probe,True,False,consistent_signal_probe,passes_consistent_ic_qlib_ir_direction_rules,new_source_research_probe_rules,watch,positive,1,6,6,1.0,0.0225849039587896,0.0359009466069715,4.169121062086565,0.0306834905729549,0.9934795094428864,0.0065204905571134,88218.0,88797.0,18.0,pass,partial_pass,pass,0.0359009466069715,0.0225849039587896,0.0359009466069715,0.0225849039587896,4.169121062086565,3.0652823095990507,0.0306834905729549,0.0067232489537307,,MIT,qlib_expression_adapter_pending,False,False,3,3,1.0,,,,,,,,,,,,,,,,,,,False,False,False,metric_only_probe
multi_source_judgement_v1,alpha360_CLOSE11,alpha360,qlib_alpha360,alpha360_close_window,strict_screening_input,promoted,required_pass_allowed_partials_only,monitor,new_source_alpha_probe,True,False,consistent_signal_probe,passes_consistent_ic_qlib_ir_direction_rules,new_source_research_probe_rules,watch,positive,1,6,6,1.0,0.0241652466164784,0.0370601233768552,4.163593566137317,0.0306275481238071,0.9934569861594424,0.0065430138405576,88216.0,88797.0,18.0,pass,partial_pass,pass,0.0370601233768552,0.0241652466164784,0.0370601233768552,0.0241652466164784,4.163593566137317,3.290373920773512,0.0306275481238071,0.0201669914421931,,MIT,qlib_expression_adapter_pending,False,False,3,3,1.0,,,,,,,,,,,,,,,,,,,False,False,False,metric_only_probe
