factor,source,active,original_family,proposed_family,mechanism,horizon,formula_units,definition,review_status,reason,representative_eligible,source_reference,semantic_resolved,replacement_hold_reason
alpha158_BETA10,alpha158,True,VolatilityRisk,PriceTrend,normalized_price_slope,window_10,ratio_or_normalized_statistic,"Qlib Alpha158 expression: Slope($close, 10)/$close",formula_reconciled,"Slope(close,n)/close is price slope, not market beta.",True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_BETA20,alpha158,True,VolatilityRisk,PriceTrend,normalized_price_slope,window_20,ratio_or_normalized_statistic,"Qlib Alpha158 expression: Slope($close, 20)/$close",formula_reconciled,"Slope(close,n)/close is price slope, not market beta.",True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_BETA30,alpha158,True,VolatilityRisk,PriceTrend,normalized_price_slope,window_30,ratio_or_normalized_statistic,"Qlib Alpha158 expression: Slope($close, 30)/$close",formula_reconciled,"Slope(close,n)/close is price slope, not market beta.",True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_BETA5,alpha158,True,VolatilityRisk,PriceTrend,normalized_price_slope,window_5,ratio_or_normalized_statistic,"Qlib Alpha158 expression: Slope($close, 5)/$close",formula_reconciled,"Slope(close,n)/close is price slope, not market beta.",True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_BETA60,alpha158,True,VolatilityRisk,PriceTrend,normalized_price_slope,window_60,ratio_or_normalized_statistic,"Qlib Alpha158 expression: Slope($close, 60)/$close",formula_reconciled,"Slope(close,n)/close is price slope, not market beta.",True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_CNTD10,alpha158,False,MomentumTrend,ReturnDynamics,alpha158_cntd,window_10,ratio_or_normalized_statistic,"Qlib Alpha158 expression: Mean($close>Ref($close, 1), 10)-Mean($close<Ref($close, 1), 10)",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_CNTD20,alpha158,False,MomentumTrend,ReturnDynamics,alpha158_cntd,window_20,ratio_or_normalized_statistic,"Qlib Alpha158 expression: Mean($close>Ref($close, 1), 20)-Mean($close<Ref($close, 1), 20)",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_CNTD30,alpha158,True,MomentumTrend,ReturnDynamics,alpha158_cntd,window_30,ratio_or_normalized_statistic,"Qlib Alpha158 expression: Mean($close>Ref($close, 1), 30)-Mean($close<Ref($close, 1), 30)",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_CNTD5,alpha158,False,MomentumTrend,ReturnDynamics,alpha158_cntd,window_5,ratio_or_normalized_statistic,"Qlib Alpha158 expression: Mean($close>Ref($close, 1), 5)-Mean($close<Ref($close, 1), 5)",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_CNTD60,alpha158,False,MomentumTrend,ReturnDynamics,alpha158_cntd,window_60,ratio_or_normalized_statistic,"Qlib Alpha158 expression: Mean($close>Ref($close, 1), 60)-Mean($close<Ref($close, 1), 60)",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
