outer_split_id,policy_id,factor,feature_order,source_family,stability_role,correctness_pass,data_qualified,cluster_id,is_representative,representative_score,inclusion_reason,decision_authority,selection_authorized,strategy_v2_authorized
split_001,all_existing_stable_core,alpha158_BETA10,0,alpha158,stable_core,True,True,cluster_033,True,1.0,existing_stable_core_and_frozen_data_qualified,diagnostic_only,False,False
split_001,all_existing_stable_core,alpha158_BETA5,1,alpha158,stable_core,True,True,cluster_019,True,1.0,existing_stable_core_and_frozen_data_qualified,diagnostic_only,False,False
split_001,all_existing_stable_core,alpha158_CNTD30,2,alpha158,stable_core,True,True,cluster_037,True,1.0,existing_stable_core_and_frozen_data_qualified,diagnostic_only,False,False
split_001,all_existing_stable_core,alpha158_CNTP60,3,alpha158,stable_core,True,True,cluster_038,True,0.8666666666666666,existing_stable_core_and_frozen_data_qualified,diagnostic_only,False,False
split_001,all_existing_stable_core,alpha158_CORD10,4,alpha158,stable_core,True,True,cluster_009,True,1.0,existing_stable_core_and_frozen_data_qualified,diagnostic_only,False,False
split_001,all_existing_stable_core,alpha158_CORD20,5,alpha158,stable_core,True,True,cluster_040,True,1.0,existing_stable_core_and_frozen_data_qualified,diagnostic_only,False,False
split_001,all_existing_stable_core,alpha158_CORD5,6,alpha158,stable_core,True,True,cluster_010,True,1.0,existing_stable_core_and_frozen_data_qualified,diagnostic_only,False,False
split_001,all_existing_stable_core,alpha158_CORD60,7,alpha158,stable_core,True,True,cluster_041,True,1.0,existing_stable_core_and_frozen_data_qualified,diagnostic_only,False,False
split_001,all_existing_stable_core,alpha158_CORR10,8,alpha158,stable_core,True,True,cluster_015,True,1.0,existing_stable_core_and_frozen_data_qualified,diagnostic_only,False,False
split_001,all_existing_stable_core,alpha158_CORR20,9,alpha158,stable_core,True,True,cluster_016,True,1.0,existing_stable_core_and_frozen_data_qualified,diagnostic_only,False,False
split_001,all_existing_stable_core,alpha158_CORR5,10,alpha158,stable_core,True,True,cluster_011,True,1.0,existing_stable_core_and_frozen_data_qualified,diagnostic_only,False,False
split_001,all_existing_stable_core,alpha158_HIGH0,11,alpha158,stable_core,True,True,cluster_004,True,1.0,existing_stable_core_and_frozen_data_qualified,diagnostic_only,False,False
split_001,all_existing_stable_core,alpha158_IMIN20,12,alpha158,stable_core,True,True,cluster_032,True,1.0,existing_stable_core_and_frozen_data_qualified,diagnostic_only,False,False
split_001,all_existing_stable_core,alpha158_KLEN,13,alpha158,stable_core,True,True,cluster_003,True,1.0,existing_stable_core_and_frozen_data_qualified,diagnostic_only,False,False
split_001,all_existing_stable_core,alpha158_KLOW,14,alpha158,stable_core,True,True,cluster_007,True,1.0,existing_stable_core_and_frozen_data_qualified,diagnostic_only,False,False
split_001,all_existing_stable_core,alpha158_KMID,15,alpha158,stable_core,True,True,cluster_021,True,0.8666666666666666,existing_stable_core_and_frozen_data_qualified,diagnostic_only,False,False
split_001,all_existing_stable_core,alpha158_KUP,16,alpha158,stable_core,True,True,cluster_006,True,1.0,existing_stable_core_and_frozen_data_qualified,diagnostic_only,False,False
split_001,all_existing_stable_core,alpha158_LOW0,17,alpha158,stable_core,True,True,cluster_020,True,1.0,existing_stable_core_and_frozen_data_qualified,diagnostic_only,False,False
split_001,all_existing_stable_core,alpha158_MAX5,18,alpha158,stable_core,True,True,cluster_005,True,1.0,existing_stable_core_and_frozen_data_qualified,diagnostic_only,False,False
split_001,all_existing_stable_core,alpha158_MIN10,19,alpha158,stable_core,True,True,cluster_030,True,1.0,existing_stable_core_and_frozen_data_qualified,diagnostic_only,False,False
split_001,all_existing_stable_core,alpha158_QTLD60,20,alpha158,stable_core,True,True,cluster_036,True,1.0,existing_stable_core_and_frozen_data_qualified,diagnostic_only,False,False
split_001,all_existing_stable_core,alpha158_RSQR30,21,alpha158,stable_core,True,True,cluster_044,True,0.8666666666666666,existing_stable_core_and_frozen_data_qualified,diagnostic_only,False,False
split_001,all_existing_stable_core,alpha158_VMA30,22,alpha158,stable_core,True,True,cluster_025,True,1.0,existing_stable_core_and_frozen_data_qualified,diagnostic_only,False,False
split_001,all_existing_stable_core,alpha158_VMA60,23,alpha158,stable_core,True,True,cluster_028,True,1.0,existing_stable_core_and_frozen_data_qualified,diagnostic_only,False,False
split_001,all_existing_stable_core,alpha158_VSUMD60,24,alpha158,stable_core,True,True,cluster_027,True,1.0,existing_stable_core_and_frozen_data_qualified,diagnostic_only,False,False
