child_artifact_id,child_stage_id,parent_artifact_id,parent_stage_id,authority_fields,status
split_transparent_score_v2:82be8a32b7a84c401dcd27c630e93838a018949300c29f9fd405b70e1ec328c3,split_transparent_score_v2,full_research_feature_matrix_v4:10f6e026d5c6c13eda166f702fb2bae2e7ca76c6747bd9e9482ee482e605df1d,full_research_feature_matrix_v4,universe_artifact_id|factor_catalog_id|factor_frame_id,pass
split_transparent_score_v2:82be8a32b7a84c401dcd27c630e93838a018949300c29f9fd405b70e1ec328c3,split_transparent_score_v2,research_selection_lineage_closure_v1:abe0d942b28dfbd6ca679a8a2aee0ee83890309922b5184f5efa28d1fb842e6b,research_selection_lineage_closure_v1,universe_artifact_id|split_manifest_id|factor_catalog_id|factor_frame_id,pass
split_transparent_score_v2:82be8a32b7a84c401dcd27c630e93838a018949300c29f9fd405b70e1ec328c3,split_transparent_score_v2,split_transparent_score_v2:a215b60bd0ff82b93de6fb59c1f88e8c51066740de9311af9b6ef8ce658df91a,split_transparent_score_v2,universe_artifact_id|split_manifest_id|factor_catalog_id|factor_frame_id,pass
instrument_state_v1:0dcacd89dabf315043f3fb69ebea756370f8f489843346c5028927b78c51c9d7,instrument_state_v1,point_in_time_universe_v2:325e39d7dd68afe0828154840b813287d0bf991487a42ed51a7d6476e85d7838,point_in_time_universe_v2,universe_artifact_id,pass
instrument_state_v1:0dcacd89dabf315043f3fb69ebea756370f8f489843346c5028927b78c51c9d7,instrument_state_v1,split_transparent_score_v2:82be8a32b7a84c401dcd27c630e93838a018949300c29f9fd405b70e1ec328c3,split_transparent_score_v2,universe_artifact_id|split_manifest_id|factor_catalog_id|factor_frame_id,pass
market_cache_v2:43a4f4f175f07f8cd9a80d40e73a8f566ed98deb249fa083eccd7c3e87759e89,market_cache_v2,instrument_state_v1:0dcacd89dabf315043f3fb69ebea756370f8f489843346c5028927b78c51c9d7,instrument_state_v1,universe_artifact_id|split_manifest_id|factor_catalog_id|factor_frame_id,pass
market_cache_v2:43a4f4f175f07f8cd9a80d40e73a8f566ed98deb249fa083eccd7c3e87759e89,market_cache_v2,raw_market_data_snapshot_v1:e2f213da365ea6ba4d8375c830ff32e45f78fc847b814a11aaeb9e26b49d8cd9,raw_market_data_snapshot_v1,,pass
market_cache_v2:43a4f4f175f07f8cd9a80d40e73a8f566ed98deb249fa083eccd7c3e87759e89,market_cache_v2,split_transparent_score_v2:82be8a32b7a84c401dcd27c630e93838a018949300c29f9fd405b70e1ec328c3,split_transparent_score_v2,universe_artifact_id|split_manifest_id|factor_catalog_id|factor_frame_id,pass
bugfix_research_freeze_v1:381253a7c9c2fedd913becee9786e128af8efa6c36a4b4464a63d5fada6e9737,bugfix_research_freeze_v1,market_cache_v2:43a4f4f175f07f8cd9a80d40e73a8f566ed98deb249fa083eccd7c3e87759e89,market_cache_v2,universe_artifact_id|split_manifest_id|factor_catalog_id|factor_frame_id,pass
bugfix_research_freeze_v1:381253a7c9c2fedd913becee9786e128af8efa6c36a4b4464a63d5fada6e9737,bugfix_research_freeze_v1,research_selection_lineage_closure_v1:abe0d942b28dfbd6ca679a8a2aee0ee83890309922b5184f5efa28d1fb842e6b,research_selection_lineage_closure_v1,universe_artifact_id|split_manifest_id|factor_catalog_id|factor_frame_id,pass
